id,feature,donor_ref,description,survey_coverage,disposition,area,owners,canonical,planning_notes
F011,Melee damage pipeline,"`Game/Formulas/FormulaHelper.cs` — weapon/hand-to-hand ranges, `CalculateAttackDamage`, `AdjustWeaponAttackDamage`, `DamageEquipment`",Full attack-damage resolution incl. material-vs-armor adjustment and equipment wear.,Partial — ranges + hit resolution in `Rulesets.Daggerfall/Modules/Combat/CombatModule.cs` + `Policies/DaggerfallFormulaPolicy.cs`; equipment-damage-through-hit absent,E,6,"D,K",F011,"Weapon/unarmed damage, material eligibility, enemy attack sets, armor interaction, condition loss and hit consequences."
F012,To-hit pipeline,"`Game/Formulas/FormulaHelper.cs` — weapon/armor/stats/skills/adrenaline adjustments, body-part roll",Full hit-chance chain with struck-body-part roll and success test.,Partial — consolidated `CalculateHitChance` + `StruckBodyPart` in `Policies/DaggerfallFormulaPolicy.cs` via `Modules/Combat/CombatModule.cs`; per-factor breakdown not separately ported,E,6,D,F012,"Body-part selection; skill, armor, material, luck/agility/dodging factors; hit/miss ordering and boundaries."
F013,Swing/proficiency/racial/backstab modifiers,"`Game/Formulas/FormulaHelper.cs` — `CalculateSwingModifiers`, `CalculateProficiencyModifiers`, `CalculateRacialModifiers`, backstab, weapon timing","Swing, proficiency, racial, enemy-type, backstab modifiers plus weapon timing.",Partial — `BackstabChance` + cooldowns via `DaggerfallActionDefinition`/`CombatDefinitions.cs`; swing/proficiency/racial/enemy-type modifiers absent,E,6,D,F013,"Swing direction, proficiency, race, backstab, enemy-type bonuses and attack timing; no donor global manager access."
F014,Saving throws vs magic,"`Game/Formulas/FormulaHelper.cs` — `SavingThrow`, `ModifyEffectAmount`, `InflictPoison`, `OnMonsterHit`","Elemental saving throws, effect modification, poison, monster special hits.",Absent — no saving-throw/poison/monster-effect logic (magic not ported),M,7,D,F014,"Saving throws, effect amount modification, immunity and monster-hit poison/disease effects through common effect admission."
F015,Non-combat skill-chance formulas,"`Game/Formulas/FormulaHelper.cs` — lockpicking, pickpocketing, shoplifting, stealth, climbing, pacification",Theft/stealth/climbing/pacification success chances.,Absent — no such chance formulas in ruleset,M,6,D,F015,"Lockpick, pickpocket, shoplift, stealth, climb and language/pacification chance rules with skill-use consequences."
F016,Level/skill-advancement formulas,"`Game/Formulas/FormulaHelper.cs` — `CalculateSkillUsesForAdvancement`, `CalculatePlayerLevel`, `CalculateHitPointsPerLevelUp`","Skill-use counts, level from skill-sum deltas, HP-per-level rolls.","Covered — `SkillUsesForAdvancement`, `ClassicPlayerLevel`/`ExperimentalXpLevel`, `HitPointsPerLevelUp` in `Policies/DaggerfallFormulaPolicy.cs`",E,5,"D,K",F016,Classic skill-use advancement and level eligibility; current reward path is experimental XP despite classic formula helpers.
F017,Player melee input + hit resolution,"`Game/WeaponManager.cs` — gesture attack dirs, sphere-cast hit test, sheath/equip state","Mouse-gesture melee dispatch, hit test, damage routing, sheath state.","Partial — `Modules/Combat/CombatModule.cs` (`TryPlayerMelee`, `ResolveExplicit`, cooldown latch) + `Modules/Combat/DaggerfallMeleeTargeting.cs`; gesture/sheath presentation absent",E,6,"D,K",F017,"Gesture/action input, readiness, equipped weapon, targeting and accepted attack ordering; extend existing melee path."
F018,On-screen weapon presentation,"`Game/FPSWeapon.cs` — swing states, timing, hit-frame queries, sounds",First-person weapon sprite animation states and sounds.,Absent — no FPS weapon presentation (hit cues only via `Modules/Combat/CombatDefinitions.cs` media scopes),E,6,"D,E",F018,"Existing viewmodel playback and sheath state exist; complete assigned weapon classes, direction/timing and cues."
F019,Weapon animation data,"`Utility/WeaponBasics.cs` — `MeleeWeaponAnims`, alignments, offsets, frame rates",Melee/bow animation records table.,Import-only — weapon visuals referenced by content packs; anim table not ported,E,3,"I,P,D",F019,Extend normalized weapon actions/frame markers/alignment records; do not port Unity FPSWeapon tables as runtime infrastructure.
F020,Enemy melee + ranged attacks,"`Game/EnemyAttack.cs` — `MeleeDistance`, melee timer, `BowDamage`",Enemy attack cadence: melee range/timer gating and archer dispatch.,Partial — cadence via `Modules/Combat/CombatModule.cs` cooldowns + `Modules/Behavior/DaggerfallEnemyBehaviorModule.cs`; bow-specific dispatch absent,E,6,D,F020,Enemy melee sets/cadence and bow attacks with ammunition/projectile consequences; common hit policy.
F021,Enemy damage intake,`Game/EnemyHealth.cs` — `RemoveHealth`,Hit-point sink routing player damage into death handling.,Covered — damage intake over Engine Mechanics tracks in `Modules/Combat/CombatModule.cs` (`ResolveExplicit`),R,6,"D,K",F021,Retain guarded damage sink; use it for new attack/effect callers and avoid a second health path.
F022,Player locomotion state,"`Game/PlayerMotor.cs` + `Game/Player/` motors (ground/climb/acrobatic/friction/hanging/rappel, speed/height/head-bob)",Movement state machine: run/walk/crouch/jump/swim/climb/levitate/ride.,Partial — generic locomotion in `Kit/Controls/SpatialMovementSystem.cs` + `Kit/Controls/PlayerControlState.cs` + `Kit/Actors/ActorNavigationCoordinator.cs`; DFU climb/swim/levitate/mount modes absent,E,6,"K,D,E",F022,"Walk/run/crouch/jump/climb/swim/levitate/ride policies, costs and transitions over Engine character movement."
F023,Player health/death,"`Game/PlayerHealth.cs`; `Game/PlayerDeath.cs` — `DeathInProgress`, `ResetCamera`","Player-side damage intake and death sequence (fade, camera, reset).",Partial — vitals damage via `Modules/Combat/CombatModule.cs`; death-sequence presentation absent,E,6,"D,E",F023,"Death consequences, control suppression, camera/fade and new/load choices; preserve existing damage state."
F024,Player activation/interaction,"`Game/PlayerActivate.cs` — `IPlayerActivable`, modes, `Pickpocket`, `AttemptExteriorDoorBash`, lock values","Crosshair activation: talk/loot/steal/pickpocket, door bash, locks, building/quest checks.",Partial — loot interaction via `Modules/Loot/DaggerfallCorpseLootModule.cs` + `Modules/Combat/DaggerfallMeleeTargeting.cs`; talk/steal/bash/lock modes absent,E,6,"K,D",F024,"Crosshair activation, context/mode dispatch, reach, talk/loot/steal/bash/lock outcomes and stable target identity."
F025,Effect template registry (broker),`Game/MagicAndEffects/EntityEffectBroker.cs` — template discovery by key/classic-key,Singleton registry building live bundles from classic spell records.,Absent — no effect broker/registry,A,7,"D,P",F025,Compiled effect definitions keyed by stable identity plus normalized spell records; exclude reflective/singleton discovery.
F026,Per-entity effect manager,"`Game/MagicAndEffects/EntityEffectManager.cs` — ready spell, live/incumbent bundles, casting cost/anim, cures","Component on every entity owning spells, bundles, casting, stat/skill merges, HUD icons.",Absent — no casting/ready-spell/incumbent runtime,A,7,"K,D",F026,"Ready/cast state, bundle admission, active lifetime, resistance/cure and persistence; no MonoBehaviour manager."
F027,Spell bundle data model,"`Game/MagicAndEffects/EntityEffectBundle.cs`, `LiveEffectBundle.cs`",Serializable spell/recipe payload vs in-flight cast instance.,Absent — no bundle/element model,M,7,"D,P",F027,"Definition versus cast-instance records, effect settings, target/element, provenance and durable references."
F028,Base effect class hierarchy,"`Game/MagicAndEffects/EntityEffect.cs`, `IncumbentEffect.cs`, `MagicAndEffectsEnums.cs`, `MagicAndEffectsStructs.cs`","Base effect lifecycle hooks, persistent-magic rounds, target/bundle/disease enums.",Absent — no effect base classes or magic enums,A,7,"K,D",F028,Lifetime/stacking/chance/round semantics over verified Engine mechanisms; no mandated donor inheritance hierarchy.
F029,Classic spell-record import,`EntityEffectBroker.cs` — classic-key lookup from SPELL.RSC records,Maps classic spell records to live templates incl. saved spells.,Absent — no classic spell-record mapping,M,3,"I,P,D",F029,"SPELLS.STD and MAGIC.DEF decoding/normalization and classic-key mapping; supplied source names verified in CNT-012, not SPELL.RSC."
F030,School effect families,`Game/MagicAndEffects/Effects/Alteration|Destruction|Illusion|Mysticism|Restoration|Thaumaturgy/*.cs` (~100+ per-effect classes),"One class per classic effect (damage, fortify, dispel, movement, …) with magnitude/duration/chance.",Absent — no spell-effect implementations,M,10,D,F030,"Enumerate each school effect in magic-inventory.md; prerequisites by affected operation, not a single magic task."
F031,Disease system,`Game/MagicAndEffects/Effects/Diseases/DiseaseEffect.cs` + ~20 diseases; `EntityEffectManager.CureDisease`,"Incubation, periodic stat damage, infection vectors; cures; vampirism/lycanthropy gates.",Absent — no disease/infection/cure runtime,M,7,D,F031,"Enumerated disease types, infection vectors, incubation, elapsed-day damage, cure and transformation handoff."
F032,Poison system,`Game/MagicAndEffects/Effects/Poisons/PoisonEffect.cs`; `CureAllPoisons`,"Timed poison archetype with periodic damage, curable via effects/potions.",Absent — no poison runtime,M,7,D,F032,"Enumerated poison types, onset, elapsed-minute damage, duration, cure and poisoned-item consumption."
F033,Enchantment-as-effect family,`Game/MagicAndEffects/Effects/Enchanting/*.cs` (strike/held/used/passive triggers),~25 item-enchantment effects evaluated by combat/equip code.,Absent — no enchantment triggers,M,10,"D,K",F033,Held/strike/used/passive enchantments share item/effect lifecycle; enumerate effects and trigger-specific cleanup.
F034,Artifact/special effects,"`Game/MagicAndEffects/Effects/Special/*.cs` (Azura's Star, Wabbajack, vampirism, lycanthropy, …)",Hardcoded artifact/transformation effects with bespoke logic.,Absent — no artifact/transformation effects,M,10,D,F034,"Artifact and transformation behaviors individually enumerated; quest invocation dependency is selective, not a stage cycle."
F035,Potion recipe matching,`Game/MagicAndEffects/PotionRecipe.cs` — ingredient-set matching,Matches ingredient sets to classic recipes; backs alchemy and `ItemBuilder.CreatePotion`.,Absent — no alchemy/recipe matching,M,10,"D,P",F035,"Ingredient identity/count matching, recipes, creation/consumption and potion payloads through existing inventory."
F036,Spellmaker / spellbook / potion-maker / item-maker windows,"`Game/UserInterfaceWindows/DaggerfallSpellMakerWindow.cs`, `DaggerfallSpellBookWindow.cs`, `DaggerfallPotionMakerWindow.cs`, `DaggerfallItemMakerWindow.cs`","Custom-spell crafting, known-spell list/ready spell, alchemy station, enchanting station.","Absent — no spell-crafting/book, alchemy, or enchanting UI/flow",A,10,"D,U",F036,"Spellbook/maker, potion and item-maker commands, eligibility, costs and projections; no donor window classes."
F037,Item data model,"`Game/Items/DaggerfallUnityItem.cs` — UID, materials, condition, legacy/custom magic, save round-trip",Single runtime item record with enchantments and quest flags.,Partial — definitions in content-pack payload + Engine catalog via Kit; condition/enchant/quest-flag runtime absent,E,5,"K,D",F037,"Condition, material/variant, enchantment, quest binding, identification and durable instance state; no parallel item store."
F038,Item container with stacking,"`Game/Items/ItemCollection.cs` — UID-keyed ordered container, split/transfer, weight",Auto-stacking container with equip-table-aware removal.,Covered — Kit coordination over Engine-owned Mechanics inventory/equipment catalog and lifecycle (`Kit/Inventory/MechanicsInventoryCoordinator.cs` + `MechanicsInventoryContainerCoordinator.cs`); DFU `ItemCollection`/`ItemEquipTable` not duplicated,R,5,"K,D",F038,"Retain stack/split/transfer/container mechanisms; inspect ordering, weight and equip-aware operations when extending."
F039,Item factory,`Game/Items/ItemBuilder.cs` — `CreateItem/CreateWeapon/CreateArmor/CreatePotion`,Mints items from group/template indices with material/variant rolls.,Partial — creation via Engine catalog from content-pack definitions; classic template/material-roll coverage incomplete,E,5,"D,K,P",F039,Template/material/variant selection for every item category and lifecycle creation through current inventory coordinator.
F040,Item stat/text helpers,"`Game/Items/ItemHelper.cs`, `ItemEnums.cs`, `ItemRepairData.cs`","Names, values, armor/weapon stats, repair state, identify text, artifacts.",Partial — display meaning in `Rulesets.Daggerfall/Presentation/DaggerfallInventoryPresentation.cs`; repair/identify/artifact rules absent,E,9,D,F040,"Item names/value/armor/weapon meaning, repair and identification records, artifacts and service consumers."
F041,Equip table + slot rules,"`Game/Items/ItemEquipTable.cs` — fixed `EquipSlots`, 2H-vs-shield exclusivity",One-item-per-slot enforcement with two-hand/shield conflicts and equip sounds.,Partial — DF→Kit slot mapping in `Rulesets.Daggerfall/Presentation/DaggerfallInventoryPresentation.cs`; 2H/shield conflict policy unverified,E,5,"D,K",F041,"Two-hand/shield conflicts, slot/class restrictions, equip eligibility, time/cues and item-effect hooks."
F042,Randomized loot tables,`Game/Items/LootTables.cs` — letter tables A–Q + dungeon-type odds,Level-scaled gold + categorized drops for corpses/dungeons.,"Partial — table/level-scaling/category ordering in `Rulesets.Daggerfall/Policies/DaggerfallLootPolicy.cs` + `Modules/Loot/DaggerfallCorpseLootModule.cs`; only weapons/armor pools resolve, other pools `Unsupported`",E,5,"D,P",F042,"Complete letter/category pools, dungeon/level selection, currency and non-weapon/armor items; no Unsupported pools counted complete."
F043,Loot presentation/transfer,`LootTables.cs` + `DaggerfallInventoryWindow.cs` (loot mode),Corpse/dungeon loot as transfer inventory into own collection.,Partial — thin projection in `Rulesets.Daggerfall/Presentation/DaggerfallLootPresentation.cs`; full transfer UX absent,E,5,"D,K,U",F043,"Extend existing corpse/container registration, seeding and transfer path; contextual selection, quantity and result presentation."
F044,Inventory window,"`Game/UserInterfaceWindows/DaggerfallInventoryWindow.cs` — grid, equip slots, gold/weight","Grid list, equip/unequip, potion use, wagon access.",Partial — `Rulesets.Daggerfall/Presentation/DaggerfallInventoryPresentation.cs` + `Kit/Inventory/InventoryGridLayout.cs`; paper-doll interactions absent,A,5,"D,U",F044,Inventory/equipment/drop/use/info/quantity/wagon workflows using existing projections; do not duplicate inventory truth.
F045,Weapon-item link (equipped → view),`Game/FPSWeapon.cs` — equipped type/material keyed renderer; bow ammo check reads `PlayerEntity.Items`,First-person weapon renderer keyed off equipped item.,Absent — no equipped-weapon→view binding,E,6,"D,E",F045,"Existing equipment-to-viewmodel selection exists; expand content mappings, bow/ammo and unarmed behavior."
F046,Climate-driven weather simulation,"`Game/WeatherManager.cs`, `Game/Weather/Weather.cs`","Advances regional weather from climate + Chronicles tables; drives sky, sunlight, fog, precipitation.",Absent — no weather/climate module,M,8,"D,P,E",F046,Climate/season weather transitions and sky/sun/fog/precipitation policy using Engine presentation capabilities.
F047,Player weather effects,"`Game/PlayerWeather.cs`, `Game/AmbientEffectsPlayer.cs`","Rain/snow effects, sounds, exposure around player based on weather and shelter.",Absent — no ambient weather effects,M,8,"D,E",F047,Player shelter/exposure and rain/snow/ambient effects; no local particle/audio renderer.
F048,Transport modes (foot/horse/cart/ship),"`Game/TransportManager.cs`, `UserInterfaceWindows/DaggerfallTransportWindow.cs`","Foot/Horse/Cart/Ship modes, travel speed/price effects, ownership, ship gating.",Absent — no transport/mount/ship concept,M,8,"D,K",F048,"Foot/horse/cart/ship ownership, mode eligibility, capacity, speed, cost and transitions."
F049,Interior/exterior/dungeon transitions,`Game/PlayerEnterExit.cs`,Door transitions into buildings/dungeons and back; tracks inside/dungeon/swimming/holy-place state.,Partial — one fixed dungeon scene via `Content/PrivateersHoldContent.cs` + `content/worldrpg` spatial payload; no general enter/exit system,E,4,"K,D",F049,"General enter/exit with location/building/dungeon context, return positions and save/unload behavior."
F050,Building directory and lookup,`Game/BuildingDirectory.cs`,"Per-location building dictionary linking automap, quest sites, building text.",Absent — no building directory,M,4,"K,D,P",F050,"Stable building IDs, type/name/faction/site lookup and links shared by map, dialogue, services and quests."
F051,Dungeon automap + discovery,"`Game/Automap.cs`, `Game/AutomapModel.cs`",Incremental dungeon geometry reveal as player explores; persists discovery.,Absent — no automap/discovery tracking,M,8,"D,K,E,U",F051,Persistent discovered dungeon geometry/markers and map controls through Engine/UI; no second world renderer.
F052,Exterior/city automap,`Game/ExteriorAutomap.cs`,"Town/city footprints, names, quest markers for outdoor locations.",Absent — no exterior map,M,8,"D,P,U,E",F052,"City footprints/names/markers, player position and map selection from common location data."
F053,Dungeon light range culling,`Game/DungeonLightHandler.cs`,Enables/disables per-block dungeon lights by player range for performance.,Absent — lighting authority sits with Engine; no dungeon light policy,A,4,"D,E",F053,"Publish authored lights and product visibility policy where needed; reuse Engine light/resource culling, not Unity handlers."
F054,Streaming open world,"`Terrain/StreamingWorld.cs`, `Terrain/TerrainHelper.cs`",Streams terrain/location tiles across the Iliac Bay map-pixel grid with teleport support.,Partial — single-scene stepping via `Kit/Controls/SpatialMovementSystem.cs` + `content/worldrpg/imports/privateers-hold/spatial/*`; no tile streaming,E,4,"K,D,E",F054,"Location/terrain admission, unloading, durable deltas, teleport and origin coordination; fixed-scene coverage is insufficient."
F055,Terrain sampling and heightfields,"`Terrain/DaggerfallTerrain.cs`, `Terrain/TerrainSampler.cs`, `DefaultTerrainSampler.cs`, `NoiseTerrainSampler.cs`, `SimpleTerrainSampler.cs`",Heightmap terrain from MAPS.BSA height data plus per-climate noise samplers.,Import-only — `Daggerfall.Import/Normalization/DungeonNormalizer.cs` normalizes dungeon geometry offline; no runtime terrain sampler,A,4,"I,P,D,E",F055,Import exterior height/climate data and select terrain semantics; existing dungeon mesh import is not terrain coverage.
F056,Terrain texturing and nature,"`Terrain/TerrainTexturing.cs`, `TerrainNature.cs`, `TerrainMaterialProvider.cs`, `Utility/TerrainAtlasBuilder.cs`",Climate ground tiling plus tree/rock/nature billboard scatter.,"Absent — appearance comes from admitted content pack, not climate texturing",M,4,"I,P,D,E",F056,"Ground tiling, nature placement, climate appearance and seasonal variants over admitted Engine resources."
F057,RMB city/town block assembly,`Utility/RMBLayout.cs`,"Instantiates outdoor RMB blocks: buildings, ground, flats, lights, city gates.",Import-only — baked into `content/worldrpg/imports/privateers-hold/spatial/` static-mesh payload; no runtime RMB assembler,A,4,"I,P,D",F057,"RMB exterior/building records, placements and gates; Privateer's Hold RDB mesh is not RMB implementation evidence."
F058,RDB dungeon block assembly,`Utility/RDBLayout.cs`,"Instantiates dungeon RDB blocks: doors, lights, flats, water, enemies, treasure, action links.",Import-only — baked into Privateer's Hold spatial payload via `Daggerfall.Import`; random/fixed enemy placement logic has no runtime counterpart,E,4,"I,P,D",F058,"Extend RDB publication to doors, water, actions, markers, fixed/random enemies and treasure across dungeons."
F059,Climate/season texture swaps,`Utility/ClimateSwaps.cs`,"Remaps texture archive indices by climate/season, with classic quirks (door record exempt).",Absent — no climate swap policy,M,8,"I,P,D",F059,Climate/season remapping rules and exceptions; reuse existing archive remapping helpers where applicable.
F060,Dungeon texture tables,`DungeonTextureTables.cs`,Selects the 6-entry dungeon texture table by seed (classic vs climate-based variants).,Absent — dungeon textures arrive pre-resolved in the content pack,E,3,"I,P",F060,DungeonTextureTableTransform already implements classic location tables; extend corpus use rather than reimplement.
F061,First-person player motor,"`Game/PlayerMotor.cs` (+ `Player/PlayerGroundMotor.cs`, `AcrobatMotor.cs`, `ClimbingMotor.cs`)",CharacterController walk/run/jump/crouch/climb/swim with classic timer speed scaling.,"Covered — Engine-owned stepping via `engine.Spatial` (`ProposeCharacterStep`, continuation capture/restore) + managed `Look.Integrate` in `Kit/Controls/PlayerInputSystem.cs`; policy in `SpatialMovementSystem.cs`, `PlayerControlState.cs`, `FirstPersonCameraSystem.cs` (over Engine `CameraView`)",E,6,"K,D,E",F022,Same movement work as F022; survey Covered label does not establish climb/swim/mount coverage.
F062,Levitation/swimming motor,`Game/LevitateMotor.cs`,Replacement motor for levitating flight and swimming vertical movement.,Partial — `CharacterMotion`/`CharacterSupport` plumbed through `Kit/Controls/SpatialMovementSystem.cs`; no levitate vertical-flight policy,E,6,"K,D,E",F022,Vertical swim/levitate and support transitions are sub-behaviors of the same movement owner.
F063,Enemy locomotion + melee AI,"`Game/EnemyMotor.cs`, `Game/EnemyAttack.cs`","Pursuit/retreat/strafe state machine with obstacle avoidance, door opening, fly/swim flags.","Partial — Idle/Chase/Attack/Dead in `Rulesets.Daggerfall/Modules/Behavior/DaggerfallEnemyBehaviorModule.cs` via Engine perception + `Kit/Actors/ActorNavigationCoordinator.cs`; no strafing, doors, fly/swim",E,6,"D,K,E",F063,Pursue/retreat/strafe/door/fly/swim behavior; extend existing state machine and navigation coordination.
F064,Enemy senses and detection,`Game/EnemySenses.cs`,"Sight radius/FOV, hearing radius, stealth-aware detection feeding aggro.",Partial — Engine `IPerceptionService` visibility via `DaggerfallEnemyBehaviorModule.cs`; no DFU stealth/hearing formulas,E,6,"D,E",F064,FOV/range/hearing/stealth/pacification decisions over Engine queries; share condition reads with effects.
F065,Enemy vocal and combat sounds,`Game/EnemySounds.cs`,Attract/bark/attack/hit/parry/miss sounds per mobile type.,Partial — classic clips admitted via `Content/PrivateersHoldContent.cs`; no per-mobile sound policy,E,6,"D,P,E",F065,"Mobile-specific idle/attract/attack/hit/parry/miss cues and content, extending current presentation audio."
F066,Blood and magic hit feedback,`Game/EnemyBlood.cs`,Blood-splash particles by blood index; sparkle feedback for magic hits.,Absent — no hit-particle/blood system (corpse sprite only),E,6,"D,P,E",F066,Existing blood presentation exists; extend blood-index policy and magic feedback through the same appearance path.
F067,Enemy death and corpse,"`Game/EnemyDeath.cs`, `Game/EnemyHealth.cs`","Death broadcast, corpse billboard swap, loot/removal handoff.",Partial — corpse sprites via `Content/PrivateersHoldContent.cs` `ReadCorpse`; defeat via `Kit/Actors/ActorsState.cs`; no loot handoff,E,6,"D,K,E",F067,"Existing death/corpse/loot registration exists; extend dynamic actors, corpse identity, removal and cleanup."
F068,Town civilian wandering,`Game/MobilePersonMotor.cs` (+ `Game/Utility/CityNavigation.cs` navgrid),Townsfolk driven along city navgrid with idle/seek states.,Absent — patrol/wander explicitly not ported (noted in `DaggerfallEnemyBehaviorModule.cs` header),M,8,"D,K,E",F068,Civilian wander/idle/seek and city routes using published spatial/navigation mechanisms; no local navigation engine.
F069,Mobile civilian identity,`Game/MobilePersonNPC.cs`,Race/gender/face randomization and guard flag for townsfolk billboards.,Absent — no civilian identities,M,8,"D,P",F069,Race/gender/face/name/guard identity and persistent/reconstructed presentation policy.
F070,Static NPC records,`Game/StaticNPC.cs`,"Static RMB/RDB NPC flats with questor injection, relocation hiding, quest removal.",Absent — no static-NPC/questor concept,M,8,"D,K,P",F070,"Static NPC and questor identity, talk/service binding, relocation/hiding/removal and site ownership."
F071,Civilian entity stats,`Game/Entities/CivilianEntity.cs`,Lightweight non-combat entity defaults for townsfolk.,Absent — `Kit/Actors/ActorsState.cs` covers player + hostile actors only,E,8,"K,D",F071,"Extend actor lifecycle for civilian/non-hostile definitions, interactions and applicable damage/death rules."
F072,Random encounter tables,`Utility/RandomEncounters.cs`,20-entry per-dungeon-type spawn tables from FALL.EXE plus wilderness logic.,Absent — actors authored per scene in `Content/PrivateersHoldContent.cs`; no encounter tables or level-scaled spawning,M,8,"D,P",F072,"Dungeon/wilderness/rest/travel encounter tables, selection, level scaling and persistent spawn consequences."
F073,Enemy test/demo setup,`Game/SetupDemoEnemy.cs`,"Inspector/test harness for enemy type, reaction, gender, spawn distance.",Partial — validation sprite pages under `content/validation/sprites/`; no in-engine spawn harness,X,12,D,F073,DFU demo/inspector spawn harness is excluded from game coverage; existing sprite workbench remains useful tooling.
F074,Guild framework + manager,"`Game/Guilds/Guild.cs`, `Game/Guilds/IGuild.cs`, `Game/Guilds/GuildManager.cs`","Base guild class + contract and manager for membership, rank, reputation, service dispatch.",Absent — no guild/faction membership or rank,A,9,"D,K",F074,Membership/rank/reputation/service operations and persistence; no singleton guild manager topology.
F075,Major guild implementations,"`Game/Guilds/FightersGuild.cs`, `MagesGuild.cs`, `ThievesGuild.cs`, `DarkBrotherhood.cs`, `Temple.cs`, `KnightlyOrder.cs`","Per-faction rank requirements, skill gates, advancement, quest-service hooks.",Absent — no faction policy,M,9,"D,P",F075,"Fighters, Mages, Thieves, Dark Brotherhood, Temples and Knightly Orders: individual rank, skill and service rules."
F076,Non-member / service stubs,"`Game/Guilds/NonMemberGuild.cs`, `Game/Guilds/Services.cs`","Fallback guild object plus shared service enumerations (training, cure, donation).",Absent — no service-gate logic,A,9,D,F076,Non-member service eligibility and real denial/outcome semantics; no no-op service stubs counted as coverage.
