id,row_type,family_id,kind,path_or_pattern,available_count,byte_size,record_or_stem,current_scope,disposition,notes
CNT-017-QBN,family,CNT-017,quest-source,local/arena2,306,,$CUREVAM.QBN;$CUREWER.QBN;00B00Y00.QBN;10C00Y00.QBN;20C00Y00.QBN;30C00Y00.QBN;40C00Y00.QBN;50C00Y00.QBN;60C00Y00.QBN;70C00Y00.QBN;80C00Y00.QBN;80C0XY00.QBN;90C00Y00.QBN;A0C00Y00.QBN;A0C00Y04.QBN;A0C00Y06.QBN;A0C00Y07.QBN;A0C00Y08.QBN;A0C00Y10.QBN;A0C00Y11.QBN;A0C00Y12.QBN;A0C00Y14.QBN;A0C00Y15.QBN;A0C00Y16.QBN;A0C00Y17.QBN;A0C00Y20.QBN;A0C00Y21.QBN;A0C00Y22.QBN;A0C01Y01.QBN;A0C01Y03.QBN;A0C01Y06.QBN;A0C01Y09.QBN;A0C01Y13.QBN;A0C0XY04.QBN;A0C10Y02.QBN;A0C10Y05.QBN;A0C10Y23.QBN;A0C41Y18.QBN;B0B00Y00.QBN;B0B00Y01.QBN;B0B10Y04.QBN;B0B20Y07.QBN;B0B20Y18.QBN;B0B20Y19.QBN;B0B40Y08.QBN;B0B40Y09.QBN;B0B50Y11.QBN;B0B60Y12.QBN;B0B70Y14.QBN;B0B70Y16.QBN;B0B71Y03.QBN;B0B80Y17.QBN;B0B81Y02.QBN;B0C00Y05.QBN;B0C00Y06.QBN;B0C00Y10.QBN;B0C00Y13.QBN;C0B00Y00.QBN;C0B00Y01.QBN;C0B00Y02.QBN;C0B00Y03.QBN;C0B00Y04.QBN;C0B00Y14.QBN;C0B10Y05.QBN;C0B10Y06.QBN;C0B10Y07.QBN;C0B10Y15.QBN;C0B20Y08.QBN;C0B3XY09.QBN;C0C00Y10.QBN;C0C00Y11.QBN;C0C00Y12.QBN;C0C00Y13.QBN;D0B00Y00.QBN;D0B40Y01.QBN;E0B00Y00.QBN;E0B30Y01.QBN;F0B00Y00.QBN;G0B00Y00.QBN;G0B91Y01.QBN;H0B00Y00.QBN;I0B00Y00.QBN;J0B00Y00.QBN;K0C00Y00.QBN;K0C00Y02.QBN;K0C00Y03.QBN;K0C00Y04.QBN;K0C00Y05.QBN;K0C00Y06.QBN;K0C00Y07.QBN;K0C00Y08.QBN;K0C00Y09.QBN;K0C01Y00.QBN;K0C01Y10.QBN;K0C0XY01.QBN;K0C10Y11.QBN;K0C20Y12.QBN;K0C30Y03.QBN;K0C30Y13.QBN;L0A01L00.QBN;L0B00Y00.QBN;L0B00Y01.QBN;L0B00Y02.QBN;L0B00Y03.QBN;L0B00Y04.QBN;L0B10Y01.QBN;L0B10Y03.QBN;L0B20Y02.QBN;L0B30Y03.QBN;L0B30Y09.QBN;L0B30Y12.QBN;L0B30Y14.QBN;L0B30Y16.QBN;L0B40Y04.QBN;L0B40Y13.QBN;L0B50Y11.QBN;L0B50Y15.QBN;L0B60Y10.QBN;L0B71Y17.QBN;M0B00Y00.QBN;M0B00Y06.QBN;M0B00Y07.QBN;M0B00Y15.QBN;M0B00Y16.QBN;M0B00Y17.QBN;M0B10Y21.QBN;M0B11Y18.QBN;M0B1XY01.QBN;M0B20Y02.QBN;M0B21Y19.QBN;M0B30Y03.QBN;M0B30Y04.QBN;M0B30Y08.QBN;M0B30Y33.QBN;M0B40Y05.QBN;M0B40Y22.QBN;M0B40Y30.QBN;M0B50Y09.QBN;M0B50Y20.QBN;M0B50Y32.QBN;M0B50Y34.QBN;M0B60Y10.QBN;M0B60Y31.QBN;M0B70Y15.QBN;M0C00Y11.QBN;M0C00Y12.QBN;M0C00Y13.QBN;M0C00Y14.QBN;N0B00Y04.QBN;N0B00Y06.QBN;N0B00Y08.QBN;N0B00Y09.QBN;N0B00Y16.QBN;N0B00Y17.QBN;N0B10Y01.QBN;N0B10Y03.QBN;N0B10Y21.QBN;N0B11Y18.QBN;N0B20Y02.QBN;N0B20Y05.QBN;N0B20Y20.QBN;N0B20Y25.QBN;N0B21Y14.QBN;N0B21Y22.QBN;N0B30Y15.QBN;N0B30Y19.QBN;N0B40Y07.QBN;N0B40Y22.QBN;N0B41Y24.QBN;N0B50Y20.QBN;N0B50Y23.QBN;N0B50Y25.QBN;N0B60Y24.QBN;N0B70Y21.QBN;N0C00Y01.QBN;N0C00Y10.QBN;N0C00Y11.QBN;N0C00Y12.QBN;N0C00Y13.QBN;N0C00Y23.QBN;O0A0AL00.QBN;O0B00Y00.QBN;O0B00Y01.QBN;O0B00Y11.QBN;O0B00Y12.QBN;O0B10Y00.QBN;O0B10Y03.QBN;O0B10Y05.QBN;O0B10Y06.QBN;O0B10Y07.QBN;O0B10Y16.QBN;O0B11Y17.QBN;O0B1XY13.QBN;O0B20Y02.QBN;O0B2XY04.QBN;O0B2XY08.QBN;O0B2XY09.QBN;O0B2XY10.QBN;O0B2XY14.QBN;O0B30Y14.QBN;O0B30Y16.QBN;O0B3XY15.QBN;O0B40Y13.QBN;O0B40Y15.QBN;O0B4XY16.QBN;O0B50Y17.QBN;O0B60Y18.QBN;P0A01L00.QBN;P0B00L01.QBN;P0B00L03.QBN;P0B00L04.QBN;P0B00L06.QBN;P0B01L02.QBN;P0B10L07.QBN;P0B10L08.QBN;P0B10L10.QBN;P0B20L09.QBN;P0B30L11.QBN;Q0C00Y01.QBN;Q0C00Y03.QBN;Q0C00Y04.QBN;Q0C00Y06.QBN;Q0C00Y07.QBN;Q0C00Y08.QBN;Q0C0XY02.QBN;Q0C10Y00.QBN;Q0C10Y09.QBN;Q0C20Y02.QBN;Q0C4XY04.QBN;R0C10Y00.QBN;R0C10Y01.QBN;R0C10Y02.QBN;R0C10Y04.QBN;R0C10Y05.QBN;R0C10Y06.QBN;R0C10Y08.QBN;R0C10Y09.QBN;R0C10Y10.QBN;R0C10Y11.QBN;R0C10Y12.QBN;R0C10Y13.QBN;R0C10Y14.QBN;R0C10Y15.QBN;R0C10Y17.QBN;R0C10Y18.QBN;R0C10Y20.QBN;R0C10Y21.QBN;R0C11Y03.QBN;R0C11Y16.QBN;R0C11Y19.QBN;R0C11Y26.QBN;R0C11Y27.QBN;R0C11Y28.QBN;R0C20Y07.QBN;R0C20Y22.QBN;R0C20Y31.QBN;R0C30Y25.QBN;R0C40Y23.QBN;R0C4XY23.QBN;R0C60Y24.QBN;R0C60Y30.QBN;S0000001.QBN;S0000002.QBN;S0000003.QBN;S0000004.QBN;S0000005.QBN;S0000006.QBN;S0000007.QBN;S0000008.QBN;S0000009.QBN;S0000010.QBN;S0000011.QBN;S0000012.QBN;S0000013.QBN;S0000015.QBN;S0000016.QBN;S0000017.QBN;S0000018.QBN;S0000020.QBN;S0000021.QBN;S0000022.QBN;S0000100.QBN;S0000101.QBN;S0000102.QBN;S0000103.QBN;S0000104.QBN;S0000106.QBN;S0000107.QBN;S0000500.QBN;S0000501.QBN;S0000502.QBN;S0000503.QBN;S0000977.QBN;S0000988.QBN;S0000999.QBN;STARTFIN.QBN;STARTFIX.QBN;T0C00Y00.QBN;U0C00Y00.QBN;V0C00Y00.QBN;W0C00Y00.QBN;X0C00Y00.QBN;Y0C00Y00.QBN;Z0C00Y00.QBN;_BRISIEN.QBN;_TUTOR__.QBN,not admitted,pending-import,source identity only; actions/resources in quest-content-inventory.md
CNT-017-QRC,family,CNT-017,quest-source,local/arena2,303,,$CUREVAM.QRC;$CUREWER.QRC;00B00Y00.QRC;10C00Y00.QRC;20C00Y00.QRC;30C00Y00.QRC;40C00Y00.QRC;50C00Y00.QRC;60C00Y00.QRC;70C00Y00.QRC;80C0XY00.QRC;90C00Y00.QRC;A0C00Y00.QRC;A0C00Y06.QRC;A0C00Y07.QRC;A0C00Y08.QRC;A0C00Y10.QRC;A0C00Y11.QRC;A0C00Y12.QRC;A0C00Y14.QRC;A0C00Y15.QRC;A0C00Y16.QRC;A0C00Y17.QRC;A0C00Y20.QRC;A0C00Y21.QRC;A0C00Y22.QRC;A0C01Y01.QRC;A0C01Y03.QRC;A0C01Y06.QRC;A0C01Y09.QRC;A0C01Y13.QRC;A0C0XY04.QRC;A0C10Y02.QRC;A0C10Y05.QRC;A0C10Y23.QRC;A0C41Y18.QRC;B0B00Y00.QRC;B0B00Y01.QRC;B0B10Y04.QRC;B0B20Y07.QRC;B0B20Y18.QRC;B0B20Y19.QRC;B0B40Y08.QRC;B0B40Y09.QRC;B0B50Y11.QRC;B0B60Y12.QRC;B0B70Y14.QRC;B0B70Y16.QRC;B0B71Y03.QRC;B0B80Y17.QRC;B0B81Y02.QRC;B0C00Y05.QRC;B0C00Y06.QRC;B0C00Y10.QRC;B0C00Y13.QRC;C0B00Y00.QRC;C0B00Y01.QRC;C0B00Y02.QRC;C0B00Y03.QRC;C0B00Y04.QRC;C0B00Y14.QRC;C0B10Y05.QRC;C0B10Y06.QRC;C0B10Y07.QRC;C0B10Y15.QRC;C0B20Y08.QRC;C0B3XY09.QRC;C0C00Y10.QRC;C0C00Y11.QRC;C0C00Y12.QRC;C0C00Y13.QRC;D0B00Y00.QRC;D0B40Y01.QRC;E0B00Y00.QRC;E0B30Y01.QRC;F0B00Y00.QRC;G0B00Y00.QRC;G0B91Y01.QRC;H0B00Y00.QRC;I0B00Y00.QRC;J0B00Y00.QRC;K0C00Y00.QRC;K0C00Y02.QRC;K0C00Y03.QRC;K0C00Y04.QRC;K0C00Y05.QRC;K0C00Y06.QRC;K0C00Y07.QRC;K0C00Y08.QRC;K0C00Y09.QRC;K0C01Y00.QRC;K0C01Y10.QRC;K0C0XY01.QRC;K0C10Y11.QRC;K0C20Y12.QRC;K0C30Y03.QRC;K0C30Y13.QRC;L0A01L00.QRC;L0B00Y00.QRC;L0B00Y01.QRC;L0B00Y02.QRC;L0B00Y03.QRC;L0B00Y04.QRC;L0B10Y01.QRC;L0B10Y03.QRC;L0B20Y02.QRC;L0B30Y03.QRC;L0B30Y09.QRC;L0B30Y12.QRC;L0B30Y14.QRC;L0B30Y16.QRC;L0B40Y04.QRC;L0B40Y13.QRC;L0B50Y11.QRC;L0B50Y15.QRC;L0B60Y10.QRC;L0B71Y17.QRC;M0B00Y00.QRC;M0B00Y06.QRC;M0B00Y07.QRC;M0B00Y15.QRC;M0B00Y16.QRC;M0B00Y17.QRC;M0B10Y21.QRC;M0B11Y18.QRC;M0B1XY01.QRC;M0B20Y02.QRC;M0B21Y19.QRC;M0B30Y03.QRC;M0B30Y04.QRC;M0B30Y08.QRC;M0B30Y33.QRC;M0B40Y04.QRC;M0B40Y05.QRC;M0B40Y22.QRC;M0B40Y30.QRC;M0B50Y09.QRC;M0B50Y20.QRC;M0B50Y32.QRC;M0B50Y34.QRC;M0B60Y10.QRC;M0B60Y31.QRC;M0B70Y15.QRC;M0C00Y11.QRC;M0C00Y12.QRC;M0C00Y13.QRC;M0C00Y14.QRC;N0B00Y04.QRC;N0B00Y06.QRC;N0B00Y08.QRC;N0B00Y09.QRC;N0B00Y16.QRC;N0B00Y17.QRC;N0B10Y01.QRC;N0B10Y03.QRC;N0B10Y21.QRC;N0B11Y18.QRC;N0B20Y02.QRC;N0B20Y05.QRC;N0B20Y20.QRC;N0B20Y25.qrc;N0B21Y14.QRC;N0B21Y22.QRC;N0B30Y15.QRC;N0B30Y19.QRC;N0B40Y07.QRC;N0B40Y22.qrc;N0B41Y24.QRC;N0B50Y20.qrc;N0B50Y23.QRC;N0B50Y25.QRC;N0B60Y24.qrc;N0B70Y21.qrc;N0C00Y10.QRC;N0C00Y11.QRC;N0C00Y12.QRC;N0C00Y13.QRC;N0C00Y23.qrc;O0A0AL00.QRC;O0B00Y00.QRC;O0B00Y01.QRC;O0B00Y11.QRC;O0B00Y12.QRC;O0B10Y00.QRC;O0B10Y03.QRC;O0B10Y05.QRC;O0B10Y06.QRC;O0B10Y07.QRC;O0B10Y16.QRC;O0B11Y17.QRC;O0B1XY13.QRC;O0B20Y02.QRC;O0B2XY04.QRC;O0B2XY08.QRC;O0B2XY09.QRC;O0B2XY10.QRC;O0B2XY14.QRC;O0B30Y14.QRC;O0B30Y16.QRC;O0B3XY15.QRC;O0B40Y13.QRC;O0B40Y15.QRC;O0B4XY16.QRC;O0B50Y17.QRC;O0B60Y18.QRC;P0A01L00.QRC;P0B00L01.QRC;P0B00L03.QRC;P0B00L04.QRC;P0B00L06.QRC;P0B01L02.QRC;P0B10L07.QRC;P0B10L08.QRC;P0B10L10.QRC;P0B20L09.QRC;P0B30L11.QRC;Q0C00Y01.QRC;Q0C00Y03.QRC;Q0C00Y04.QRC;Q0C00Y06.QRC;Q0C00Y07.QRC;Q0C00Y08.QRC;Q0C0XY02.QRC;Q0C10Y00.QRC;Q0C10Y09.QRC;Q0C20Y02.QRC;Q0C4XY04.QRC;R0C10Y00.QRC;R0C10Y01.QRC;R0C10Y02.QRC;R0C10Y04.QRC;R0C10Y05.QRC;R0C10Y06.QRC;R0C10Y08.QRC;R0C10Y09.QRC;R0C10Y10.QRC;R0C10Y11.QRC;R0C10Y12.QRC;R0C10Y13.QRC;R0C10Y14.QRC;R0C10Y15.QRC;R0C10Y17.QRC;R0C10Y18.QRC;R0C10Y20.QRC;R0C10Y21.QRC;R0C11Y03.QRC;R0C11Y16.QRC;R0C11Y19.QRC;R0C11Y26.QRC;R0C11Y27.QRC;R0C11Y28.QRC;R0C20Y07.QRC;R0C20Y22.QRC;R0C20Y31.QRC;R0C30Y25.QRC;R0C4XY23.QRC;R0C60Y24.QRC;R0C60Y30.QRC;S0000001.QRC;S0000002.QRC;S0000003.QRC;S0000004.QRC;S0000005.QRC;S0000006.QRC;S0000007.QRC;S0000008.QRC;S0000009.QRC;S0000010.QRC;S0000011.QRC;S0000012.QRC;S0000013.QRC;S0000015.QRC;S0000016.QRC;S0000017.QRC;S0000018.QRC;S0000020.QRC;S0000021.QRC;S0000022.QRC;S0000100.QRC;S0000101.QRC;S0000102.QRC;S0000103.QRC;S0000104.QRC;S0000106.QRC;S0000107.QRC;S0000500.QRC;S0000501.QRC;S0000502.QRC;S0000503.QRC;S0000977.QRC;S0000988.QRC;S0000999.QRC;STARTFIN.QRC;STARTFIX.QRC;T0C00Y00.QRC;U0C00Y00.QRC;V0C00Y00.QRC;W0C00Y00.QRC;X0C00Y00.QRC;Y0C00Y00.QRC;Z0C00Y00.QRC;_BRISIEN.QRC;_TUTOR__.QRC,not admitted,pending-import,source identity only; six paths retain lowercase .qrc
CNT-018,family,CNT-018,textures,local/arena2/TEXTURE.nnn,472 present / 40 absent,,present 000-511; absent 021;032;034;051;052;078;187-189;191-193;196;219-232;243-244;294;367;373;421;441;471-472;496-499,selected leaves and dungeon closure,current-partial,no placeholders for absent source archives
CNT-019,family,CNT-019,weapon-media,local/arena2/WEAPON00.CIF-WEAPON11.CIF,12,,WEAPON00-11,9 admitted,current-partial,three source CIFs remain outside current media input
CNT-020,family,CNT-020,main-guild-misc-ui,local/arena2/MAIN*;GILD*;BANK*;SHOP*;TALK*;REST*;INFO*;INVE*;ITEM*;BOOK00I0;SCRL*,6;2;4;9;4;3;1;18;2;1;12,,source paths by prefix; see content-scope.md,selected MAIN/INFO/INVE inputs,current-partial,semantic UI/service tasks use thin DOM projections
CNT-021,family,CNT-021,character-media,local/arena2/BODY*;FACE*;FACES.CIF;CHAR*;CUST*;NITE*;SCBG*;*.CEL;*.BSS,32;17;9;10;4;9;3;3,,source paths by family; see content-scope.md,selected dungeon/UI subset,uninspected,prefix counts are file metadata
CNT-022,family,CNT-022,map-travel-media,local/arena2/FMAP*;AMAP*;TMAP*;TRAV*;TOWN*,54 IMG + palette;2;1;12;1,,source paths by family; see content-scope.md,not complete,pending-import,map art is separate from MAPS/world records
CNT-023,family,CNT-023,sound,local/arena2/DAGGER.SND,459,,numeric clip ordinals,6 published typed clips,current-partial,numeric BSA header count; ordinary audio in scope
CNT-024,family,CNT-024,fonts,local/arena2/FONT0000.FNT-FONT0004.FNT,5,,FONT0000-0004,FONT0003 only,current-partial,FntDecoder fixed glyph record shape
CNT-025,family,CNT-025,videos,local/arena2/ANIM0000.VID-ANIM0015.VID;DAG2.VID,17,,ANIM0000-0015;DAG2,not admitted,pending-import,DAG2 retained as ending/story identity
CNT-026,family,CNT-026,flc-cinematics,local/arena2/*.FLC,16,,AZURA;BOETHIAH;CLAVICUS;HERMAEUS;HIRCINE;MALACATH;MEHRUNES;MEPHALA;MERIDIA;MOLAGBAL;NAMIRA;NOCTURNA;PERYITE;SANGUINE;SHEOGRTH;VAERNIMA,not admitted,pending-import,artifact/Daedric cinematic identities
CNT-027,family,CNT-027,remaining-media,local/arena2,file-family counts in content-scope.md,,all other source paths; exact names pending family inventory,selected inputs,uninspected,do not collapse into an unbounded all-media ticket
CNT-028,family,CNT-028,midi,local/arena2/MIDI.BSA,131,,named records,none,excluded,named BSA directory 0x0100; no MIDI decoder/synthesizer/playback
CNT-017.file.$CUREVAM.QBN,file,CNT-017,source-file,local/arena2/$CUREVAM.QBN,1,5219,$CUREVAM,source present; per-file publication not audited,unused,Filesystem presence and size only; source-record usability and runtime publication not inferred. Quest stem paired QBN/QRC.
CNT-017.file.$CUREVAM.QRC,file,CNT-017,source-file,local/arena2/$CUREVAM.QRC,1,5709,$CUREVAM,source present; per-file publication not audited,unused,Filesystem presence and size only; source-record usability and runtime publication not inferred. Quest stem paired QBN/QRC.
CNT-017.file.$CUREWER.QBN,file,CNT-017,source-file,local/arena2/$CUREWER.QBN,1,5826,$CUREWER,source present; per-file publication not audited,unused,Filesystem presence and size only; source-record usability and runtime publication not inferred. Quest stem paired QBN/QRC.
CNT-017.file.$CUREWER.QRC,file,CNT-017,source-file,local/arena2/$CUREWER.QRC,1,9161,$CUREWER,source present; per-file publication not audited,unused,Filesystem presence and size only; source-record usability and runtime publication not inferred. Quest stem paired QBN/QRC.
CNT-017.file.00B00Y00.QBN,file,CNT-017,source-file,local/arena2/00B00Y00.QBN,1,1254,00B00Y00,source present; per-file publication not audited,unused,Filesystem presence and size only; source-record usability and runtime publication not inferred. Quest stem paired QBN/QRC.
CNT-017.file.00B00Y00.QRC,file,CNT-017,source-file,local/arena2/00B00Y00.QRC,1,1869,00B00Y00,source present; per-file publication not audited,unused,Filesystem presence and size only; source-record usability and runtime publication not inferred. Quest stem paired QBN/QRC.
CNT-017.file.10C00Y00.QBN,file,CNT-017,source-file,local/arena2/10C00Y00.QBN,1,2043,10C00Y00,source present; per-file publication not audited,unused,Filesystem presence and size only; source-record usability and runtime publication not inferred. Quest stem paired QBN/QRC.
CNT-017.file.10C00Y00.QRC,file,CNT-017,source-file,local/arena2/10C00Y00.QRC,1,2876,10C00Y00,source present; per-file publication not audited,unused,Filesystem presence and size only; source-record usability and runtime publication not inferred. Quest stem paired QBN/QRC.
CNT-017.file.20C00Y00.QBN,file,CNT-017,source-file,local/arena2/20C00Y00.QBN,1,2333,20C00Y00,source present; per-file publication not audited,unused,Filesystem presence and size only; source-record usability and runtime publication not inferred. Quest stem paired QBN/QRC.
CNT-017.file.20C00Y00.QRC,file,CNT-017,source-file,local/arena2/20C00Y00.QRC,1,2888,20C00Y00,source present; per-file publication not audited,unused,Filesystem presence and size only; source-record usability and runtime publication not inferred. Quest stem paired QBN/QRC.
CNT-017.file.30C00Y00.QBN,file,CNT-017,source-file,local/arena2/30C00Y00.QBN,1,1410,30C00Y00,source present; per-file publication not audited,unused,Filesystem presence and size only; source-record usability and runtime publication not inferred. Quest stem paired QBN/QRC.
CNT-017.file.30C00Y00.QRC,file,CNT-017,source-file,local/arena2/30C00Y00.QRC,1,3051,30C00Y00,source present; per-file publication not audited,unused,Filesystem presence and size only; source-record usability and runtime publication not inferred. Quest stem paired QBN/QRC.
CNT-017.file.40C00Y00.QBN,file,CNT-017,source-file,local/arena2/40C00Y00.QBN,1,7707,40C00Y00,source present; per-file publication not audited,unused,Filesystem presence and size only; source-record usability and runtime publication not inferred. Quest stem paired QBN/QRC.
CNT-017.file.40C00Y00.QRC,file,CNT-017,source-file,local/arena2/40C00Y00.QRC,1,7472,40C00Y00,source present; per-file publication not audited,unused,Filesystem presence and size only; source-record usability and runtime publication not inferred. Quest stem paired QBN/QRC.
CNT-017.file.50C00Y00.QBN,file,CNT-017,source-file,local/arena2/50C00Y00.QBN,1,1584,50C00Y00,source present; per-file publication not audited,unused,Filesystem presence and size only; source-record usability and runtime publication not inferred. Quest stem paired QBN/QRC.
CNT-017.file.50C00Y00.QRC,file,CNT-017,source-file,local/arena2/50C00Y00.QRC,1,3136,50C00Y00,source present; per-file publication not audited,unused,Filesystem presence and size only; source-record usability and runtime publication not inferred. Quest stem paired QBN/QRC.
CNT-017.file.60C00Y00.QBN,file,CNT-017,source-file,local/arena2/60C00Y00.QBN,1,1588,60C00Y00,source present; per-file publication not audited,unused,Filesystem presence and size only; source-record usability and runtime publication not inferred. Quest stem paired QBN/QRC.
CNT-017.file.60C00Y00.QRC,file,CNT-017,source-file,local/arena2/60C00Y00.QRC,1,3378,60C00Y00,source present; per-file publication not audited,unused,Filesystem presence and size only; source-record usability and runtime publication not inferred. Quest stem paired QBN/QRC.
CNT-017.file.70C00Y00.QBN,file,CNT-017,source-file,local/arena2/70C00Y00.QBN,1,1556,70C00Y00,source present; per-file publication not audited,unused,Filesystem presence and size only; source-record usability and runtime publication not inferred. Quest stem paired QBN/QRC.
CNT-017.file.70C00Y00.QRC,file,CNT-017,source-file,local/arena2/70C00Y00.QRC,1,2698,70C00Y00,source present; per-file publication not audited,unused,Filesystem presence and size only; source-record usability and runtime publication not inferred. Quest stem paired QBN/QRC.
CNT-017.file.80C00Y00.QBN,file,CNT-017,source-file,local/arena2/80C00Y00.QBN,1,3005,80C00Y00,source present; per-file publication not audited,unused,Filesystem presence and size only; source-record usability and runtime publication not inferred. Quest stem QBN-only.
CNT-017.file.80C0XY00.QBN,file,CNT-017,source-file,local/arena2/80C0XY00.QBN,1,2438,80C0XY00,source present; per-file publication not audited,unused,Filesystem presence and size only; source-record usability and runtime publication not inferred. Quest stem paired QBN/QRC.
CNT-017.file.80C0XY00.QRC,file,CNT-017,source-file,local/arena2/80C0XY00.QRC,1,4469,80C0XY00,source present; per-file publication not audited,unused,Filesystem presence and size only; source-record usability and runtime publication not inferred. Quest stem paired QBN/QRC.
CNT-017.file.90C00Y00.QBN,file,CNT-017,source-file,local/arena2/90C00Y00.QBN,1,1485,90C00Y00,source present; per-file publication not audited,unused,Filesystem presence and size only; source-record usability and runtime publication not inferred. Quest stem paired QBN/QRC.
CNT-017.file.90C00Y00.QRC,file,CNT-017,source-file,local/arena2/90C00Y00.QRC,1,3116,90C00Y00,source present; per-file publication not audited,unused,Filesystem presence and size only; source-record usability and runtime publication not inferred. Quest stem paired QBN/QRC.
CNT-017.file.A0C00Y00.QBN,file,CNT-017,source-file,local/arena2/A0C00Y00.QBN,1,4399,A0C00Y00,source present; per-file publication not audited,unused,Filesystem presence and size only; source-record usability and runtime publication not inferred. Quest stem paired QBN/QRC.
